"name","latitude","longitude","datetime","tempmax","tempmin","temp","feelslikemax","feelslikemin","feelslike","precip","preciptype","snow","snowdepth","cloudcover","conditions","description","city","country","id","location","temp_diff_max","temp_diff_min","temp_diff"
"Winnipeg, MB, Canada",49.9,-97.141,"1973-12-25",-5.4,-8.8,-6.6,-5.4,-15.7,-10.7,,"",,7,90.4,"Overcast","Cloudy skies throughout the day.","Winnipeg","Canada",55,"Winnipeg, Canada",1.2,2.2,1
"Luxembourg, Luxembourg",49.61,6.13,"1973-12-25",4.2,1.1,2.5,2.2,-5,-1.9,0,"",,,95.5,"Overcast","Cloudy skies throughout the day.","Luxembourg","Luxembourg",48,"Luxembourg, Luxembourg",1.7,1.4,0.3
"Vancouver, BC, Canada",49.26,-123.113,"1973-12-25",7.2,3.9,5.9,5.6,0.7,3.2,8,"rain",,,84.8,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","Vancouver","Canada",56,"Vancouver, Canada",1.3,2,0.700000000000001
"Paris, Île-de-France, France",48.857,2.341,"1973-12-25",6.1,3.4,4.7,2.4,-0.9,0,0.334,"rain",,0,91.8,"Rain, Overcast","Cloudy skies throughout the day with early morning rain.","Paris","France",5,"Paris, France",1.4,1.3,0.0999999999999992
"Wien, Österreich",48.203,16.368,"1973-12-25",10.9,5.2,7.6,10.9,1,4.1,0,"",,0,74.4,"Partially cloudy","Partly cloudy throughout the day.","Vienna","Austria",13,"Vienna, Austria",3.3,2.4,0.900000000000001
"Bratislava, Bratislavský kraj, Slovenská Republika",48.149,17.107,"1973-12-25",8.1,3.2,4.7,8.1,0.4,3.8,0,"",,0,73.6,"Partially cloudy","Partly cloudy throughout the day.","Bratislava","Slovakia",39,"Bratislava, Slovakia",3.4,1.5,1.9
"Ulaanbaatar, Mongolia",47.922,106.918,"1973-12-25",-12.3,-19.9,-15.6,-12.4,-20.2,-17.1,0,"",,0,50.3,"Partially cloudy","Partly cloudy throughout the day.","Ulaanbaatar","Mongolia",20,"Ulaanbaatar, Mongolia",3.3,4.3,1
"Seattle, WA, United States",47.604,-122.329,"1973-12-25",7.2,3.5,5.7,7.2,-0.6,3,0,"",,,95.8,"Overcast","Cloudy skies throughout the day.","Seattle (WA)","USA",63,"Seattle (WA), USA",1.5,2.2,0.7
"Budapest, Magyarország",47.5,19.055,"1973-12-25",5.1,2.1,3.2,4.1,0.6,2.6,0,"",,0,80,"Partially cloudy","Partly cloudy throughout the day.","Budapest","Hungary",8,"Budapest, Hungary",1.9,1.1,0.799999999999999
"Chișinău, Moldova",47.025,28.832,"1973-12-25",4.1,1,2.2,1.1,-2.6,0,1.497,"rain,snow",,5,45,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with rain or snow.","Chisinau","Moldova",37,"Chisinau, Moldova",1.9,1.2,0.699999999999999
"Bern, BE, Schweiz",46.948,7.44,"1973-12-25",4.8,0.3,2.2,4.1,-1.8,0.8,0,"",,0,96,"Overcast","Cloudy skies throughout the day.","Bern","Switzerland",46,"Bern, Switzerland",2.6,1.9,0.7
"Ljubljana, Slovenija",46.051,14.503,"1973-12-25",7.4,3.9,5.3,7.4,1.8,4.6,4.307,"rain",,0,97.4,"Rain, Overcast","Cloudy skies throughout the day with afternoon rain.","Ljubljana","Slovenia",43,"Ljubljana, Slovenia",2.1,1.4,0.700000000000001
"Zagreb, Hrvatska",45.807,15.968,"1973-12-25",12.1,6,8.3,12.1,5.1,7.5,,"",,0,95.6,"Overcast","Cloudy skies throughout the day.","Zagreb","Croatia",35,"Zagreb, Croatia",3.8,2.3,1.5
"Montréal, QC, Canada",45.512,-73.555,"1973-12-25",-4.3,-27.6,-17.2,-6.7,-34.7,-23.6,,"",,,86.3,"Partially cloudy","Partly cloudy throughout the day.","Montréal","Canada",51,"Montréal, Canada",12.9,10.4,2.5
"Portland, OR, United States",45.512,-122.676,"1973-12-25",7.1,1.6,3.9,7.1,-1.2,3,0,"",,0,59.3,"Partially cloudy","Partly cloudy throughout the day.","Portland (OR)","USA",69,"Portland (OR), USA",3.2,2.3,0.9
"Ottawa, ON, Canada",45.422,-75.691,"1973-12-25",-2.6,-21,-13.9,-6.7,-31.1,-21.6,,"",,12.7,95,"Overcast","Cloudy skies throughout the day.","Ottawa","Canada",54,"Ottawa, Canada",11.3,7.1,4.2
"Београд, Централна Србија, Србија",44.813,20.463,"1973-12-25",11.1,5.1,8.5,11.1,2.6,6.2,0,"",,0,89.5,"Partially cloudy","Partly cloudy throughout the day.","Belgrade","Serbia",21,"Belgrade, Serbia",2.6,3.4,0.800000000000001
"București, România",44.434,26.103,"1973-12-25",6.1,-3.4,-0.3,6.1,-3.4,-0.3,0,"",,0,56.6,"Partially cloudy","Partly cloudy throughout the day.","Bucharest","Romania",14,"Bucharest, Romania",6.4,3.1,3.3
"Sarajevo, Federacija Bosne i Hercegovine, Bosna i Hercegovina",43.859,18.436,"1973-12-25",13.1,9,11.2,13.1,5.5,10.3,,"",,0,87.4,"Partially cloudy","Partly cloudy throughout the day.","Sarajevo","Bosnia and Herzegovina",42,"Sarajevo, Bosnia and Herzegovina",1.9,2.2,0.299999999999999
"Toronto, ON, Canada",43.649,-79.385,"1973-12-25",3.9,-6.6,0.8,2.1,-12.5,-3.6,9.3,"rain,snow",,8,100,"Snow, Rain, Overcast","Cloudy skies throughout the day with rain or snow.","Toronto","Canada",50,"Toronto, Canada",3.1,7.4,4.3
"Bishkek, Kyrgyzstan",42.884,74.603,"1973-12-25",-3.9,-12,-9.6,-7.1,-25.1,-15,0,"",,,2.1,"Clear","Clear conditions throughout the day.","Bishkek","Kyrgyzstan",27,"Bishkek, Kyrgyzstan",5.7,2.4,3.3
"София, България",42.697,23.324,"1973-12-25",-0.5,-2.5,-1.5,-0.9,-3.3,-1.7,0,"",,,48,"Partially cloudy","Partly cloudy throughout the day.","Sofia","Bulgaria",18,"Sofia, Bulgaria",1,1,0
"Prishtinë, Kosovë",42.672,21.162,"1973-12-25",8.1,0,3.8,6.1,0,2.9,0,"",,0,40.4,"Partially cloudy","Partly cloudy throughout the day.","Pristina","Kosovo",44,"Pristina, Kosovo",4.3,3.8,0.5
"Podgorica, Crna Gora",42.435,19.264,"1973-12-25",14,6.1,9.5,14,6.1,9.4,0,"",,,79.2,"Partially cloudy","Partly cloudy throughout the day.","Podgorica","Montenegro",45,"Podgorica, Montenegro",4.5,3.4,1.1
"Boston, MA, United States",42.359,-71.057,"1973-12-25",6.2,-7.1,-1.2,3.6,-11.9,-4.7,0,"",,,65.8,"Partially cloudy","Partly cloudy throughout the day.","Boston (MA)","USA",68,"Boston (MA), USA",7.4,5.9,1.5
"Detroit, MI, United States",42.332,-83.048,"1973-12-25",8.1,1.6,4.3,4.3,-3.6,0.1,10.796,"rain,snow",,5,98,"Snow, Rain, Overcast","Cloudy skies throughout the day with a chance of rain or snow throughout the day.","Detroit (MI)","USA",71,"Detroit (MI), USA",3.8,2.7,1.1
"Скопје, Северна Македонија",41.995,21.43,"1973-12-25",5.1,1.1,2.5,5.1,0.6,2.3,0.958,"rain,snow",,,90.7,"Snow, Rain, Overcast","Cloudy skies throughout the day with early morning snow or rain.","Skopje","Macedonia",38,"Skopje, Macedonia",2.6,1.4,1.2
"Chicago, IL, United States",41.884,-87.632,"1973-12-25",6.1,2.3,3.7,2.6,-2.8,-0.3,8.92,"rain",,4,99.4,"Rain, Overcast","Cloudy skies throughout the day with a chance of rain throughout the day.","Chicago (IL)","USA",58,"Chicago (IL), USA",2.4,1.4,0.999999999999999
"თბილისი, Georgia",41.709,44.796,"1973-12-25",7,-5.1,-0.1,6,-6.8,-1.7,0,"",,0,25.4,"Partially cloudy","Partly cloudy throughout the day.","Tbilisi","Georgia",26,"Tbilisi, Georgia",7.1,5,2.1
"Toshkent, O'zbekiston",41.326,69.241,"1973-12-25",1.1,-6.9,-2.9,1.1,-6.9,-2.9,0,"",,,22.5,"Partially cloudy","Partly cloudy throughout the day.","Tashkent","Uzbekistan",11,"Tashkent, Uzbekistan",4,4,0
"Tiranë, Shqipëria",41.322,19.825,"1973-12-25",8.1,8.1,8.1,8.1,8.1,8.1,0,"",,,44.7,"Partially cloudy","Partly cloudy throughout the day.","Tirana","Albania",41,"Tirana, Albania",0,0,0
"New York, NY, United States",40.715,-74.007,"1973-12-25",4.7,-4.7,0,2.5,-10.4,-4.2,0.106,"rain",,0,81.1,"Rain, Partially cloudy","Partly cloudy throughout the day with late afternoon rain.","New York (NY)","USA",57,"New York (NY), USA",4.7,4.7,0
"Երևան, Հայաստան",40.179,44.513,"1973-12-25",-5.9,-13.9,-10.6,-5.9,-13.9,-10.6,0,"",,26.1,5.8,"Clear","Clear conditions throughout the day.","Yerevan","Armenia",28,"Yerevan, Armenia",4.7,3.3,1.4
"Columbus, OH, United States",39.962,-83.003,"1973-12-25",11.1,4.5,8.2,11.1,1,6.2,3.2,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with rain.","Columbus (OH)","USA",60,"Columbus (OH), USA",2.9,3.7,0.799999999999999
"Philadelphia, PA, United States",39.952,-75.162,"1973-12-25",6.5,-2.9,1.9,4.4,-8.2,-1.5,0,"",,,88,"Partially cloudy","Partly cloudy throughout the day.","Philadelphia (PA)","USA",59,"Philadelphia (PA), USA",4.6,4.8,0.2
"Ankara, Türkiye",39.921,32.854,"1973-12-25",-0.3,-7,-3.1,-0.3,-7,-3.4,0,"",,,77.2,"Partially cloudy","Partly cloudy throughout the day.","Ankara","Turkey",6,"Ankara, Turkey",2.8,3.9,1.1
"中国北京",39.907,116.388,"1973-12-25",2.1,-11.9,-5.6,-0.1,-11.9,-5.9,0,"",,,2.5,"Clear","Clear conditions throughout the day.","Beijing","China",2,"Beijing, China",7.7,6.3,1.4
"Indianapolis, IN, United States",39.767,-86.15,"1973-12-25",13.9,5.1,8.3,13.9,1.1,6.1,9,"rain",,0,88.8,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","Indianapolis (IN)","USA",62,"Indianapolis (IN), USA",5.6,3.2,2.4
"Denver, CO, United States",39.74,-104.992,"1973-12-25",5.1,-11.6,-2.5,2.2,-18.7,-8,,"",,30,77.5,"Partially cloudy","Partly cloudy throughout the day.","Denver (CO)","USA",64,"Denver (CO), USA",7.6,9.1,1.5
"Pyongyang, North Korea",39.012,125.787,"1973-12-25",-5.1,-15.9,-10.7,-5.1,-18.4,-12,0,"",,,3.8,"Clear","Clear conditions throughout the day.","Pyongyang","North Korea",10,"Pyongyang, North Korea",5.6,5.2,0.399999999999999
"Washington, DC, United States",38.89,-77.032,"1973-12-25",7.5,2.5,4.6,7.1,-1.1,2.9,0,"",,3,99.8,"Overcast","Cloudy skies throughout the day.","Washington (DC)","USA",67,"Washington (DC), USA",2.9,2.1,0.800000000000001
"Dushanbe, Tajikistan",38.568,68.772,"1973-12-25",7.1,-1.9,2.3,7.1,-1.9,2.3,0,"",,0,52.5,"Partially cloudy","Partly cloudy throughout the day.","Dushanbe","Tajikistan",33,"Dushanbe, Tajikistan",4.8,4.2,0.6
"Louisville, KY, United States",38.255,-85.767,"1973-12-25",14.9,10.9,13,14.9,10.9,13,0.852,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with rain.","Louisville (KY)","USA",72,"Louisville (KY), USA",1.9,2.1,0.199999999999999
"Ashgabat, Turkmenistan",37.951,58.39,"1973-12-25",0.1,-3.9,-2.1,-3.9,-5.8,-4.8,,"",,0,33.3,"Partially cloudy","Partly cloudy throughout the day.","Ashgabat","Turkmenistan",34,"Ashgabat, Turkmenistan",2.2,1.8,0.4
"South Korea South Korea Seoul",37.559,127,"1973-12-25",-5,-16.9,-11.3,-5,-21.2,-13,0,"",,3,17.9,"Clear","Clear conditions throughout the day.","Seoul","South Korea",1,"Seoul, South Korea",6.3,5.6,0.700000000000003
"Nashville, TN, United States",36.168,-86.778,"1973-12-25",13.9,12.2,13.1,13.9,12.2,13.1,6.4,"rain",,0,100,"Rain, Overcast","Cloudy skies throughout the day with rain.","Nashville (TN)","USA",66,"Nashville (TN), USA",0.800000000000001,0.9,0.0999999999999996
"Oklahoma City, OK, United States",35.472,-97.521,"1973-12-25",7.6,-3.6,1.6,6.4,-8.5,-2.3,0,"",,,36.1,"Partially cloudy","Clearing in the afternoon.","Oklahoma City (OK)","USA",65,"Oklahoma City (OK), USA",6,5.2,0.8
"Charlotte, NC, United States",35.223,-80.838,"1973-12-25",6.2,1.7,3.8,3.5,-3,0.3,0.3,"rain",,0,99.2,"Rain, Overcast","Cloudy skies throughout the day with afternoon rain.","Charlotte (NC)","USA",61,"Charlotte (NC), USA",2.4,2.1,0.300000000000001
"Memphis, TN, United States",35.15,-90.049,"1973-12-25",14.3,6.1,11.1,14.3,4.3,11,2.1,"rain",,0,72,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","Memphis (TN)","USA",70,"Memphis (TN), USA",3.2,5,1.8
"Kathmandu, Bagmati, Nepal",27.693,85.322,"1973-12-25",0,0,,0,0,,,"",,,,"","","Kathmandu","Nepal",31,"Kathmandu, Nepal",,,
"Thimphu, Bhutan",27.468,89.662,"1973-12-25",-0.9,-15.9,-9.2,-0.9,-15.9,-9.2,0,"",,,0,"Clear","Clear conditions throughout the day.","Thimphu","Bhutan",49,"Thimphu, Bhutan",8.3,6.7,1.6
"Reykjavíkurborg, Ísland",64.146,-21.94,"1974-12-25",27.1,-6.6,8.3,28.6,-16,5.3,0,"",,,95,"Overcast","Cloudy skies throughout the day.","Reykjavík","Iceland",47,"Reykjavík, Iceland",18.8,14.9,3.9
"Anchorage, AK, United States",61.218,-149.858,"1974-12-25",-2.1,-8.2,-5,-2.1,-8.3,-5.2,0,"",,28,94.7,"Overcast","Cloudy skies throughout the day.","Anchorage (AK)","USA",73,"Anchorage (AK), USA",2.9,3.2,0.299999999999999
"Helsinki, Etelä-Suomi, Suomi",60.171,24.933,"1974-12-25",5.1,3,4.3,0.2,-3.3,-1.4,,"",,,98.8,"Overcast","Cloudy skies throughout the day.","Helsinki","Finland",24,"Helsinki, Finland",0.8,1.3,0.5
"Oslo, Norge",59.912,10.75,"1974-12-25",6.1,1.5,3.3,6.1,-2.5,0.9,1.716,"rain",,,49.3,"Rain, Partially cloudy","Clearing in the afternoon with early morning rain.","Oslo","Norway",30,"Oslo, Norway",2.8,1.8,1
"Tallinn, Eesti",59.436,24.753,"1974-12-25",4.1,2.1,3.2,0.7,-2.8,-1,0,"",,0,98.7,"Overcast","Cloudy skies throughout the day.","Tallinn","Estonia",40,"Tallinn, Estonia",0.9,1.1,0.200000000000001
"Stockholm, Stockholms län, Sverige",59.333,18.067,"1974-12-25",5.1,3.1,4.2,2.7,-1.1,0.9,,"",,,70,"Partially cloudy","Partly cloudy throughout the day.","Stockholm","Sweden",17,"Stockholm, Sweden",0.9,1.1,0.200000000000001
"Rīga, Latvija",56.946,24.115,"1974-12-25",5,2.1,3.5,0.3,-3.3,-1.5,,"",,0,99.8,"Overcast","Cloudy skies throughout the day.","Riga","Latvia",32,"Riga, Latvia",1.5,1.4,0.1
"Москва, Центральный федеральный округ, Россия",55.757,37.615,"1974-12-25",-0.1,-5.5,-3.2,-2.9,-11.3,-6.3,,"",,,73.7,"Partially cloudy","Partly cloudy throughout the day.","Moscow","Russia",3,"Moscow, Russia",3.1,2.3,0.8
"København, Hovedstaden, Danmark",55.676,12.568,"1974-12-25",6.1,4,4.8,3,-0.8,0.3,1,"rain",,,69.6,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","Copenhagen","Denmark",22,"Copenhagen, Denmark",1.3,0.8,0.5
"Vilnius, Vilniaus Apskritis, Lietuva",54.691,25.27,"1974-12-25",4,0.1,2,-0.3,-5.8,-3.3,0,"",,0,100,"Overcast","Cloudy skies throughout the day.","Vilnius","Lithuania",36,"Vilnius, Lithuania",2,1.9,0.1
"Мінск, Беларусь",53.904,27.566,"1974-12-25",4,0.1,2.1,3,-5.4,-1.6,,"",,0,97.5,"Overcast","Cloudy skies throughout the day.","Minsk","Belarus",12,"Minsk, Belarus",1.9,2,0.1
"Edmonton, AB, Canada",53.546,-113.49,"1974-12-25",6.1,-1,3.1,2.9,-4.6,-1.2,0,"",,,71.2,"Partially cloudy","Partly cloudy throughout the day.","Edmonton","Canada",53,"Edmonton, Canada",3,4.1,1.1
"Dublin, Ireland",53.348,-6.248,"1974-12-25",14,4,9.9,14,0.3,8.4,0.091,"rain",,,76.5,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","Dublin","Ireland",25,"Dublin, Ireland",4.1,5.9,1.8
"Berlin, Deutschland",52.516,13.377,"1974-12-25",8,4.1,6,5.3,0.8,2.9,,"",,0,61.7,"Partially cloudy","Partly cloudy throughout the day.","Berlin","Germany",7,"Berlin, Germany",2,1.9,0.0999999999999996
"Amsterdam, Noord-Holland, Nederland",52.37,4.908,"1974-12-25",11.1,4,6.5,11.1,-0.1,3.1,0,"",,0,69.5,"Partially cloudy","Partly cloudy throughout the day.","Amsterdam","Netherlands",19,"Amsterdam, Netherlands",4.6,2.5,2.1
"Warszawa, Woj. Mazowieckie, Polska",52.236,21.01,"1974-12-25",6,-0.9,2.6,2.2,-5.4,-1.2,0,"",,0,58,"Partially cloudy","Partly cloudy throughout the day.","Warsaw","Poland",15,"Warsaw, Poland",3.4,3.5,0.1
"London, England, United Kingdom",51.506,-0.127,"1974-12-25",13.1,2.6,8.3,13.1,-0.9,6.4,3.224,"rain",,0,89.8,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","London","United Kingdom",4,"London, United Kingdom",4.8,5.7,0.900000000000002
"Нұр-Сұлтан, Қазақстан",51.128,71.428,"1974-12-25",-4.9,-18.9,-13.6,-10.4,-27.6,-20.8,0,"",,,54.3,"Partially cloudy","Partly cloudy throughout the day.","Astana","Kazakhstan",29,"Astana, Kazakhstan",8.7,5.3,3.4
"Calgary, AB, Canada",51.045,-114.063,"1974-12-25",7.2,-0.9,2.7,3.2,-7.6,-3.5,,"",,,40.9,"Partially cloudy","Clearing in the afternoon.","Calgary","Canada",52,"Calgary, Canada",4.5,3.6,0.9
"Brussels, Belgium",50.844,4.356,"1974-12-25",13.1,4.2,7,13.1,0.3,3.8,0.013,"rain",,0,70.2,"Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain.","Brussels","Belgium",16,"Brussels, Belgium",6.1,2.8,3.3
"Київ, Україна",50.451,30.524,"1974-12-25",4,-0.8,2.5,4,-6.3,-0.1,0,"",,0,98.3,"Overcast","Cloudy skies throughout the day.","Kyiv","Ukraine",9,"Kyiv, Ukraine",1.5,3.3,1.8
"Praha, Hlavní město Praha, Česko",50.079,14.433,"1974-12-25",6.7,0.1,3.6,2.7,-4.2,-0.6,0,"",,0,65.9,"Partially cloudy","Partly cloudy throughout the day.","Prague","Czechia",23,"Prague, Czechia",3.1,3.5,0.4
"Winnipeg, MB, Canada",49.9,-97.141,"1974-12-25",-5.4,-14.3,-10.4,-13.3,-23.4,-19.6,,"",,5,61.3,"Partially cloudy","Partly cloudy throughout the day.","Winnipeg","Canada",55,"Winnipeg, Canada",5,3.9,1.1
"Luxembourg, Luxembourg",49.61,6.13,"1974-12-25",9,3.1,4.8,4.9,-0.9,0.9,0.988,"rain",,,93.1,"Rain, Overcast","Cloudy skies throughout the day with early morning rain.","Luxembourg","Luxembourg",48,"Luxembourg, Luxembourg",4.2,1.7,2.5
"Vancouver, BC, Canada",49.26,-123.113,"1974-12-25",7.2,0.7,4.9,3.4,-2.8,1.3,1,"rain",,,70.4,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","Vancouver","Canada",56,"Vancouver, Canada",2.3,4.2,1.9
"Paris, Île-de-France, France",48.857,2.341,"1974-12-25",13.1,3.6,7.3,13.1,0.9,5.1,2,"rain",,0,91.3,"Rain, Overcast","Cloudy skies throughout the day with afternoon rain.","Paris","France",5,"Paris, France",5.8,3.7,2.1
"Wien, Österreich",48.203,16.368,"1974-12-25",3.7,-1.9,-0.6,1.9,-6.5,-2.4,0,"",,0,84.9,"Partially cloudy","Partly cloudy throughout the day.","Vienna","Austria",13,"Vienna, Austria",4.3,1.3,3
"Bratislava, Bratislavský kraj, Slovenská Republika",48.149,17.107,"1974-12-25",1,-1,-0.3,1,-5.4,-1.3,0,"",,0,94.4,"Overcast","Cloudy skies throughout the day.","Bratislava","Slovakia",39,"Bratislava, Slovakia",1.3,0.7,0.6
"Ulaanbaatar, Mongolia",47.922,106.918,"1974-12-25",-17.4,-26.2,-22.2,-17.4,-26.2,-22.2,0,"",,0,6.1,"Clear","Clear conditions throughout the day.","Ulaanbaatar","Mongolia",20,"Ulaanbaatar, Mongolia",4.8,4,0.800000000000001
"Seattle, WA, United States",47.604,-122.329,"1974-12-25",6.9,3.7,5.3,6.5,1.2,3.2,0.075,"rain",,0,90.6,"Rain, Overcast","Cloudy skies throughout the day with early morning rain.","Seattle (WA)","USA",63,"Seattle (WA), USA",1.6,1.6,8.88178419700125e-16
"Budapest, Magyarország",47.5,19.055,"1974-12-25",1.1,-1.9,-0.7,1.1,-5.1,-2.4,0.22,"rain,snow",,0,86.5,"Snow, Rain, Partially cloudy","Partly cloudy throughout the day with afternoon rain or snow.","Budapest","Hungary",8,"Budapest, Hungary",1.8,1.2,0.6
"Chișinău, Moldova",47.025,28.832,"1974-12-25",2.1,-0.9,0.6,1.7,-4.6,-1.9,0,"",,0,68.7,"Partially cloudy","Partly cloudy throughout the day.","Chisinau","Moldova",37,"Chisinau, Moldova",1.5,1.5,0
"Bern, BE, Schweiz",46.948,7.44,"1974-12-25",10.1,3.1,6.7,10.1,1.1,5.1,2,"rain",,0,83.4,"Rain, Partially cloudy","Partly cloudy throughout the day with early morning rain.","Bern","Switzerland",46,"Bern, Switzerland",3.4,3.6,0.200000000000001
